,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
275,415/74 Price Street,"$305,500",Jun 2019,,,Apartment,2,1,1,,,Realmark Central
276,7 Jasmine Avenue,"$1,300,000",Jun 2019,"$1,250pw",Jan 2015,House,3,2,2,207,,
277,2/137 Roberts Road,"$440,000",Jun 2019,$400pw,Dec 2017,,,,,"1,463",61,
278,610/74 Price Street,"$799,000",Jun 2019,,,,,,,147,,Mint Real Estate - Claremont
279,189 Hamersley Road,"$2,050,000",Jun 2019,,,House,4,3,2,440,264,The Property Exchange - Subiaco
280,11/23 Hensman Road,"$295,000",May 2019,,,,,,,"1,488",,
281,"Level 1, 3/381 Barker Road","$350,000",May 2019,,,,,,,,,
282,8/431 Bagot Road,"$595,000",May 2019,$520pw,May 2019,Townhouse,3,2,2,111,111,
283,21/346 Barker Road,"$830,000",May 2019,$600pw,Aug 2018,House,3,2,2,"1,291",106,Space Real Estate - Cottesloe
284,5/225 Bagot Road,"$480,000",May 2019,$430pw,Jun 2018,Apartment,2,1,1,113,86,Abel McGrath Property Group
285,91 Rupert Street,"$800,000",May 2019,$380pw,Jan 2008,House,2,1,2,233,95,Central Estate Agents - Subiaco
286,6/25 Proclamation Street,"$475,000",May 2019,,,Townhouse,2,1,1,80,85,
287,41 Salisbury Street,"$1,400,000",May 2019,,,House,2,1,1,341,,
288,283 Roberts Road,"$830,000",Apr 2019,$700pw,Oct 2016,House,4,1,2,"2,415",153,
289,135 Gloster Street,"$2,075,000",Apr 2019,,,House,4,2,2,576,,
290,3/381 Barker Road,"$350,000",Apr 2019,$350pw,Nov 2019,,,,,"2,793",,
291,4/199 Barker Road,"$440,000",Apr 2019,$425pw,May 2015,,,,,,,
292,7/7 Brigid Road,"$349,000",Apr 2019,$400pw,Sep 2014,,,,,"3,019",,The Property Exchange - Subiaco
293,311/74 Price Street,"$325,000",Apr 2019,,,Apartment,2,1,1,,,Realmark Central
294,411/74 Price Street,"$325,000",Apr 2019,,,Apartment,2,1,1,,,Realmark Central
295,310/74 Price Street,"$299,000",Apr 2019,,,Apartment,1,1,1,,,
296,23 Heytesbury Road,"$1,675,000",Apr 2019,,,House,4,2,1,,,Space Real Estate - Cottesloe
297,118 Barker Road,"$1,540,000",Apr 2019,,,House,4,2,1,,,
298,11 Union Street,"$1,410,000",Apr 2019,,,House,3,2,1,539,,
299,10/76 Subiaco Road,"$225,000",Mar 2019,$279pw,Jun 2019,Apartment,1,1,1,"2,657",42,Avanti Residential - Subiaco
