,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,rent,rent date,Building size
263,4/172 Railway Parade,"$525,000",Aug 2017,Apartment,2,2,1,82,Burgess Rawson (WA) Pty Ltd - Perth,$480pw,Sep 2017,82
264,5A Ruislip Street,"$1,085,000",Aug 2017,House,3,2,2,243,Mint Real Estate - Claremont,,,160
265,8 Southport Street,"$1,156,000",17 Aug 2017(Auction),,,,,468,Burgess Rawson - Perth,,,360
266,7 Holyrood Street,"$1,100,000",Aug 2017,House,4,2,2,429,Abel Property - Leederville,$650pw,May 2019,120
267,4/10 Southport Street,"$420,000",Jul 2017,,,,,972,Acton - Dalkeith,,,106
268,15 Tara Vista,"$800,000",Jul 2017,,,,,803,,,,
269,55a Woolwich Street,"$885,000",Jul 2017,House,3,2,2,267,Acton Cottesloe - Peppermint Grove,$530pw,Feb 2011,109
270,326A Railway Parade,"$275,000",Jul 2017,House,4,2,2,,,,,
271,14/172 Railway Parade,"$367,000",Jul 2017,Apartment,1,1,1,,Burgess Rawson (WA) Pty Ltd - Perth,,,
272,63 Blencowe Street,"$2,200,000",Jul 2017,House,4,3,2,503,Caporn Young Estate Agents - Claremont,,,
273,25/212 Railway Parade,"$390,000",Jul 2017,,,,,"4,143",Acton Cottesloe - Peppermint Grove,$325pw,Mar 2017,59
274,27/21 Northwood Street,"$505,000",Jul 2017,Apartment,2,1,,,Psaros Realty - West Leederville,,,
275,3 Kerr Street,"$661,880",Jul 2017,House,2,1,,304,Lena Burrows,$460pw,Aug 2017,
276,16/50 Cambridge Street,"$195,000",Jun 2017,Apartment,1,1,1,"4,048",Paxton Hoad - Cottesloe,$300pw,Mar 2021,40
277,23 Cambridge Street,"$850,000",Jun 2017,House,3,1,4,539,Benade Helman - Wembley,,,100
278,73/50 Cambridge Street,"$192,000",Jun 2017,Apartment,1,1,1,,Mack Hall Real Estate - Claremont,$285pw,Nov 2018,
279,1/29 Cambridge Street,"$390,000",Jun 2017,Apartment,2,1,1,,Perth Property Partners - CITY BEACH,$360pw,Dec 2020,
280,5/21 Northwood Street,"$554,000",Jun 2017,Apartment,2,2,,,Psaros Realty - West Leederville,$470pw,Mar 2020,
281,14/3-7 Abbotsford Street,"$325,000",May 2017,,,,,"2,251",Internet Realty - Kingsley,$350pw,Oct 2020,65
282,314 Railway Parade,"$820,000",May 2017,House,3,1,,576,Caporn Young Estate Agents - Claremont,,,
283,123 Cambridge Street,"$1,300,000",May 2017,,,,,406,,,,70
284,27/23 Northwood Street,"$505,000",May 2017,Apartment,2,1,1,,DevelopWise,,,
285,10/31 Connaught Street,"$535,000",May 2017,Apartment,2,2,1,,Bellmerenda Real Estate,,,
286,18/29 Cambridge Street,"$357,000",May 2017,Apartment,2,1,1,,Benade Helman - Wembley,,,
287,77 McCourt Street,"$990,000",May 2017,House,3,2,4,541,Professionals Michael Johnson and Co - Mt Lawley,,,
288,2/150 Cambridge Street,"$507,000",May 2017,Townhouse,1,1,1,137,Benade Helman - Wembley,,,79
289,3/31 Connaught Street,"$595,000",May 2017,Apartment,2,2,1,,Bellmerenda Real Estate,,,
290,56/110 Cambridge Street,"$975,000",May 2017,Apartment,3,2,2,"1,907",Paxton Hoad - Cottesloe,,,109
291,30/50 Cambridge Street,"$245,000",Apr 2017,Apartment,2,1,1,"4,056",Benade Helman - Wembley,$300pw,Apr 2017,
292,8B Joseph Street,"$925,000",Apr 2017,House,3,2,2,533,Space Real Estate - Cottesloe,$690pw,Nov 2016,155
293,88 Blencowe Street,"$1,750,000",01 Apr 2017(Auction),House,3,1,,907,Realmark West - Floreat,$750pw,Jan 2021,164
294,97 Woolwich Street,"$1,625,000",Mar 2017,House,4,2,2,501,Abel Property - Leederville,,,316
295,8 St Leonards Avenue,"$1,725,000",Mar 2017,House,4,2,1,536,Growth Realty - Subiaco,,,282
296,14/110 Cambridge Street,"$580,000",Mar 2017,Apartment,2,2,1,79,M&M Property Consultant - Leederville,$460pw,Jun 2020,79
297,23 Brighton Street,"$740,000",Mar 2017,House,3,1,2,304,Acton - Dalkeith,$525pw,Nov 2015,
298,102 Kimberley Street,"$1,125,000",Mar 2017,House,3,2,1,291,Caporn Young Estate Agents - Claremont,$750pw,Sep 2019,175
299,18 Southport Street,"$1,300,000",Mar 2017,,,,,445,Burgess Rawson - Perth,,,445
