address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,"55 Fairway Crawley, WA 6009",Land size,Building size,Year Built,rent,rent date,agent
5/1 Kings Park Avenue,Crawley,WA,6009,5/1 Kings Park Avenue Crawley WA 6009,"$850,000",Apr-16,Apartment,2,2,2,201,160,1967,$750pw,Apr-16,TM Residential - Dalkeith
23/17-23 The Avenue,Crawley,WA,6009,23/17-23 The Avenue Crawley WA 6009,"$323,000",Apr-16,Unit,1,1,0,41,45,1963,$350pw,Mar-21,Acton - Dalkeith
32/17 The Avenue,Crawley,WA,6009,32/17 The Avenue Crawley WA 6009,"$325,000",Mar-16,Unit,1,1,1,41,45,1963,$320pw,Oct-20,Abode Real Estate - Cottesloe
9 Myers Street,Crawley,WA,6009,9 Myers Street Crawley WA 6009,"$1,025,000",Mar-16,House,4,2,2,238,194,1995,,,Abel McGrath Property Group - Claremont
3/135 Fairway,Crawley,WA,6009,3/135 Fairway Crawley WA 6009,"$535,000",Mar-16,Unit,2,1,1,85,87,1979,$425pw,May-16,
12/5 Park Avenue,Crawley,WA,6009,12/5 Park Avenue Crawley WA 6009,"$750,000",Mar-16,Unit,3,1,2,143,125,1975,,,
20e/14-18 Kings Park Avenue,Crawley,WA,6009,20e/14-18 Kings Park Avenue Crawley WA 6009,"$1,390,000",Mar-16,House,3,2,4,190,184,1972,"$1,100pw",Apr-15,
3/35 Fairway,Crawley,WA,6009,3/35 Fairway Crawley WA 6009,"$475,000",Mar-16,Unit,2,1,1,105,61,1937,$430pw,Mar-21,Kempton Azzopardi - Nedlands
1G/173 Mounts Bay Road,Crawley,WA,6009,1G/173 Mounts Bay Road Crawley WA 6009,"$2,200,000",Feb-16,,,,,,,,,,
4/8 Wingfield Avenue,Crawley,WA,6009,4/8 Wingfield Avenue Crawley WA 6009,"$785,000",Feb-16,Unit,3,2,2,148,144,1979,$650pw,Jul-21,
50/3 Park Avenue,Crawley,WA,6009,50/3 Park Avenue Crawley WA 6009,"$1,500,000",Feb-16,Unit,3,2,2,175,175,1983,,,
226 Hampden Road,Crawley,WA,6009,226 Hampden Road Crawley WA 6009,"$1,060,000",Dec-15,Unit,3,2,1,187,116,2018,,,Acton - Dalkeith
31 Cook Street,Crawley,WA,6009,31 Cook Street Crawley WA 6009,"$1,200,000",Dec-15,House,3,3,1,729,,1940,,,
4/48 Broadway,Crawley,WA,6009,4/48 Broadway Crawley WA 6009,"$435,000",Dec-15,Townhouse,2,1,1,"1,613",69,,$360pw,Jul-18,Renouf Real Estate - Swanbourne
5/22 Mounts Bay Road,Crawley,WA,6009,5/22 Mounts Bay Road Crawley WA 6009,"$2,525,000",Dec-15,Apartment,3,2,2,307,218,2004,"$1,500pw",Oct-15,Space Real Estate - Cottesloe
4/3 Park Avenue,Crawley,WA,6009,4/3 Park Avenue Crawley WA 6009,"$1,075,000",Dec-15,Apartment,3,2,2,175,175,1983,$990pw,Nov-13,Abel McGrath The Property People - Leederville
4/2 Kings Park Avenue,Crawley,WA,6009,4/2 Kings Park Avenue Crawley WA 6009,"$2,250,000",Nov-15,Apartment,3,3,2,293,186,2005,"$1,450pw",Jan-21,Jamie Loh Real Estate - Cottesloe
6/124 Broadway,Crawley,WA,6009,6/124 Broadway Crawley WA 6009,"$325,000",Nov-15,Unit,2,1,1,68,68,1958,$300pw,Sep-19,Kempton Azzopardi - Nedlands
2/3 Wingfield Avenue,Crawley,WA,6009,2/3 Wingfield Avenue Crawley WA 6009,"$1,250,000",Nov-15,Apartment,3,1,2,267,155,1982,$895pw,Apr-16,
1/20 Mounts Bay Road,Crawley,WA,6009,1/20 Mounts Bay Road Crawley WA 6009,"$1,050,000",Oct-15,Unit,3,1,2,202,147,1969,$550pw,Jul-16,
2/26 Cook Street,Crawley,WA,6009,2/26 Cook Street Crawley WA 6009,"$570,000",Sep-15,Townhouse,2,1,1,84,84,1981,$495pw,Jan-17,Rossen Real Estate - Nedlands
147 Fairway,Crawley,WA,6009,147 Fairway Crawley WA 6009,"$2,575,000",Sep-15,Apartment,2,1,1,845,,,,,LJ Hooker - Claremont
8/3 Park Avenue,Crawley,WA,6009,8/3 Park Avenue Crawley WA 6009,"$1,100,000",Sep-15,Unit,3,2,2,175,175,1983,,,
40 Broadway,Crawley,WA,6009,40 Broadway Crawley WA 6009,"$2,458,000",Sep-15,House,8,4,,792,,1938,$475pw,Jun-17,Anderson Davies Real Estate - Dalkeith
4/159 Fairway,Crawley,WA,6009,4/159 Fairway Crawley WA 6009,"$345,000",Aug-15,Unit,1,1,1,52,41,1964,,,ABODE REAL ESTATE - COTTESLOE
1/1 Wingfield Avenue,Crawley,WA,6009,1/1 Wingfield Avenue Crawley WA 6009,"$950,000",Aug-15,Unit,2,1,1,221,191,1968,$445pw,Jul-16,
2/112 Broadway,Crawley,WA,6009,2/112 Broadway Crawley WA 6009,"$400,000",Aug-15,Unit,1,1,1,53,59,1955,$285pw,Feb-17,
5/126 Broadway,Crawley,WA,6009,5/126 Broadway Crawley WA 6009,"$170,498",Aug-15,Unit,,,1,38,35,1963,,,
4/126 Broadway,Crawley,WA,6009,4/126 Broadway Crawley WA 6009,"$220,000",Aug-15,Unit,,,1,44,44,,$100pw,Oct-18,
5/44 Broadway,Crawley,WA,6009,5/44 Broadway Crawley WA 6009,"$565,000",Aug-15,Apartment,2,1,1,124,70,1980,$450pw,Jan-18,Realmark Western Suburbs - NEDLANDS
51/1 Wingfield Avenue,Crawley,WA,6009,51/1 Wingfield Avenue Crawley WA 6009,"$950,000",Aug-15,Apartment,4,2,2,221,221,1968,$820pw,Dec-20,Marron Real Estate - Nedlands
23/3 Park Avenue,Crawley,WA,6009,23/3 Park Avenue Crawley WA 6009,"$1,600,000",Jul-15,Unit,3,1,2,175,175,1983,$550pw,May-01,
10/3 Park Avenue,Crawley,WA,6009,10/3 Park Avenue Crawley WA 6009,"$1,165,000",Jul-15,Unit,3,1,2,175,175,1983,,,
4/9 The Avenue,Crawley,WA,6009,4/9 The Avenue Crawley WA 6009,"$790,000",Jun-15,Apartment,3,1,1,120,99,1981,$600pw,Jun-12,Acton - Dalkeith
5/9 Wingfield Avenue,Crawley,WA,6009,5/9 Wingfield Avenue Crawley WA 6009,"$1,080,000",Jun-15,Townhouse,3,1,2,138,138,1972,,,
29/5 Park Avenue,Crawley,WA,6009,29/5 Park Avenue Crawley WA 6009,"$750,000",May-15,Apartment,3,2,2,145,125,1975,$660pw,Jul-14,Rossen Real Estate - Nedlands
29/5-7 PARK Avenue,Crawley,WA,6009,29/5-7 PARK Avenue Crawley WA 6009,"$750,000",May-15,Apartment,3,2,1,145,125,1975,$660pw,Jul-14,
1/16A Princess Road,Crawley,WA,6009,1/16A Princess Road Crawley WA 6009,"$550,000",May-15,Unit,1,1,1,170,68,1950,$390pw,Apr-17,
16a Princess Road,Crawley,WA,6009,16a Princess Road Crawley WA 6009,"$550,000",May-15,Unit,1,1,1,170,68,1950,$390pw,Apr-17,Abel McGrath Property Group - Claremont
27/3 Park Avenue,Crawley,WA,6009,27/3 Park Avenue Crawley WA 6009,"$1,375,000",May-15,Unit,3,1,1,175,175,1983,$700pw,Jun-06,
10/10 Kings Park Avenue,Crawley,WA,6009,10/10 Kings Park Avenue Crawley WA 6009,"$1,750,000",May-15,Apartment,3,3,2,274,187,1999,"$1,600pw",Jun-12,ZSA ZSA Property - PERTH
16/168 Broadway,Crawley,WA,6009,16/168 Broadway Crawley WA 6009,"$405,000",May-15,Apartment,1,1,,49,51,1963,,,Burgess Rawson Residential - Perth
8/131 Fairway,Crawley,WA,6009,8/131 Fairway Crawley WA 6009,"$775,500",Apr-15,Townhouse,3,2,2,204,130,2000,$700pw,Apr-21,Scott BJ Properties - Perth
1/1 Park Avenue,Crawley,WA,6009,1/1 Park Avenue Crawley WA 6009,"$950,000",Apr-15,House,3,2,2,149,144,1974,,,
1/2 Wingfield Avenue,Crawley,WA,6009,1/2 Wingfield Avenue Crawley WA 6009,"$1,600,000",Apr-15,Apartment,3,2,2,280,140,1997,"$1,100pw",Feb-14,Acton - Dalkeith
1/22 The Avenue,Crawley,WA,6009,1/22 The Avenue Crawley WA 6009,"$2,110,000",Apr-15,Apartment,3,2,2,163,163,1981,$895pw,May-18,Acton - Dalkeith
32 Everett Street,Crawley,WA,6009,32 Everett Street Crawley WA 6009,"$1,230,000",Apr-15,House,2,1,1,683,118,1920,$650pw,Jan-13,Anderson Davies Real Estate - Dalkeith
8/22 Mounts Bay Road,Crawley,WA,6009,8/22 Mounts Bay Road Crawley WA 6009,"$2,800,000",Apr-15,Unit,3,2,2,304,218,2004,"$1,600pw",May-13,
1/22 KINGS PARK AVENUE,Crawley,WA,6009,1/22 KINGS PARK AVENUE Crawley WA 6009,"$2,400,000",Mar-15,House,3,2,3,368,227,2014,"$1,900pw",Apr-14,TM Residential - Dalkeith
3/14 Cook Street,Crawley,WA,6009,3/14 Cook Street Crawley WA 6009,"$795,000",28 Mar 2015(Auction),Townhouse,3,2,2,158,120,1984,,,Acton North - CITY BEACH
12/4 Crawley Avenue,Crawley,WA,6009,12/4 Crawley Avenue Crawley WA 6009,"$570,000",Mar-15,Apartment,1,1,1,83,85,1970,$400pw,Aug-20,
301/173 Mounts Bay Road,Crawley,WA,6009,301/173 Mounts Bay Road Crawley WA 6009,"$5,500,000",Mar-15,Apartment,3,3,4,,452,,"$3,500pw",Feb-15,William Porteous Properties International Pty Ltd
21E/14 Kings Park Avenue,Crawley,WA,6009,21E/14 Kings Park Avenue Crawley WA 6009,"$1,050,000",Mar-15,Apartment,3,2,2,190,190,1972,,,
21E Kings Park Avenue,Crawley,WA,6009,21E Kings Park Avenue Crawley WA 6009,"$1,050,000",Mar-15,Apartment,3,2,2,190,190,1972,,,LJ Hooker - Leeming
21E 16 Kings Park Avenue,Crawley,WA,6009,21E 16 Kings Park Avenue Crawley WA 6009,"$1,050,000",Mar-15,Apartment,3,2,2,190,190,1972,,,LJ Hooker - Leeming
8/152 Broadway,Crawley,WA,6009,8/152 Broadway Crawley WA 6009,"$420,000",Mar-15,Unit,1,1,2,87,56,1958,$380pw,Jan-21,Optimus Real Estate - City Beach
1-24 COOK STREET,Crawley,WA,6009,1-24 COOK STREET Crawley WA 6009,"$771,000",Mar-15,Townhouse,3,2,2,114,119,1981,$550pw,Feb-21,TM Residential - Dalkeith
1/14 Cook Street,Crawley,WA,6009,1/14 Cook Street Crawley WA 6009,"$770,880",Mar-15,Townhouse,3,2,2,120,120,1984,$500pw,Sep-20,TM Residential - Dalkeith
54/3 Park Avenue,Crawley,WA,6009,54/3 Park Avenue Crawley WA 6009,"$1,685,000",Mar-15,Apartment,3,1,3,175,175,1983,,,Leasing Elite Pty Ltd - West Perth
6/160 Broadway,Crawley,WA,6009,6/160 Broadway Crawley WA 6009,"$600,000",Mar-15,Apartment,2,1,1,69,69,1977,$425pw,Aug-19,Acton - Dalkeith
1/24 Cook Street,Crawley,WA,6009,1/24 Cook Street Crawley WA 6009,"$770,880",Mar-15,Townhouse,3,2,2,114,119,1981,$550pw,Feb-21,TM Residential - Dalkeith
18/22-24 The Avenue,Crawley,WA,6009,18/22-24 The Avenue Crawley WA 6009,"$1,890,000",Mar-15,Apartment,3,2,4,161,161,1981,,,House Real Estate - Cottesloe
18/22 The Avenue,Crawley,WA,6009,18/22 The Avenue Crawley WA 6009,"$1,890,000",Mar-15,Apartment,3,2,4,161,161,1981,,,House Real Estate - Cottesloe
2/153 Fairway,Crawley,WA,6009,2/153 Fairway Crawley WA 6009,"$565,000",Feb-15,Unit,2,1,1,55,57,1964,$360pw,Feb-21,
4/1 Park Avenue,Crawley,WA,6009,4/1 Park Avenue Crawley WA 6009,"$885,000",Feb-15,House,3,2,2,144,156,1974,$600pw,Sep-10,Acton Fremantle - East Fremantle
14E/16 Kings Park Avenue,Crawley,WA,6009,14E/16 Kings Park Avenue Crawley WA 6009,"$1,225,000",Feb-15,Unit,3,1,2,190,190,1972,,,TM Residential - Dalkeith
6/168 Broadway,Crawley,WA,6009,6/168 Broadway Crawley WA 6009,"$400,000",Feb-15,Unit,1,1,1,49,51,1963,,,Acton - Dalkeith
2/22 Caporn Street,Crawley,WA,6009,2/22 Caporn Street Crawley WA 6009,"$395,000",Jan-15,Apartment,1,1,3,50,58,1958,$320pw,Jan-17,Port City Real Estate - Fremantle
1/228 Hampden Road,Crawley,WA,6009,1/228 Hampden Road Crawley WA 6009,"$718,000",Dec-14,Townhouse,2,2,1,179,107,2000,$530pw,Jan-21,ABODE REAL ESTATE - COTTESLOE
2/24 Cook Street,Crawley,WA,6009,2/24 Cook Street Crawley WA 6009,"$770,000",Dec-14,Townhouse,4,2,2,116,114,1981,$650pw,Jan-08,Abel McGrath Property Group - Claremont
5/3 Park Avenue,Crawley,WA,6009,5/3 Park Avenue Crawley WA 6009,"$1,000,000",Dec-14,Apartment,3,2,2,175,175,1983,$850pw,Feb-14,Acton - Dalkeith
4/70-72 Broadway,Crawley,WA,6009,4/70-72 Broadway Crawley WA 6009,"$355,000",Nov-14,Unit,1,1,1,45,45,1964,$330pw,Jul-16,Residential West
4/70 Broadway,Crawley,WA,6009,4/70 Broadway Crawley WA 6009,"$355,000",Nov-14,Unit,1,1,1,45,45,1964,$330pw,Jul-16,Residential West
8/16 Caporn Street,Crawley,WA,6009,8/16 Caporn Street Crawley WA 6009,"$562,000",Nov-14,Apartment,2,1,1,73,73,1969,$550pw,May-14,Rossen Real Estate - Nedlands
34 Everett Street,Crawley,WA,6009,34 Everett Street Crawley WA 6009,"$1,600,000",Nov-14,House,4,2,2,683,197,1921,,,
2/17-23 The Avenue,Crawley,WA,6009,2/17-23 The Avenue Crawley WA 6009,"$380,000",Nov-14,Unit,1,1,1,41,45,1963,$350pw,Mar-21,Acton - Dalkeith
4/16 Caporn Street,Crawley,WA,6009,4/16 Caporn Street Crawley WA 6009,"$540,000",Nov-14,Apartment,2,1,1,73,73,1969,$380pw,Feb-18,Rossen Real Estate - Nedlands
3/17-23 The Avenue,Crawley,WA,6009,3/17-23 The Avenue Crawley WA 6009,"$365,000",Nov-14,Unit,1,1,1,41,45,1963,$265pw,Feb-20,Acton - Dalkeith
4/116 Broadway,Crawley,WA,6009,4/116 Broadway Crawley WA 6009,"$530,000",Oct-14,House,2,1,1,58,61,1950,$400pw,Apr-21,Acton - Dalkeith
5E/14 Kings Park Avenue,Crawley,WA,6009,5E/14 Kings Park Avenue Crawley WA 6009,"$1,075,000",Oct-14,Apartment,3,2,2,190,190,1972,$1000pw,May-13,Mack Hall Real Estate - Claremont
12/70-72 Broadway,Crawley,WA,6009,12/70-72 Broadway Crawley WA 6009,"$345,000",Oct-14,Unit,1,1,1,48,44,1965,$330pw,Jan-21,Acton - Dalkeith
6/8 Wingfield Avenue,Crawley,WA,6009,6/8 Wingfield Avenue Crawley WA 6009,"$730,000",Oct-14,Apartment,3,2,2,149,145,1979,,,Mack Hall Real Estate - Claremont
6/9 The Avenue,Crawley,WA,6009,6/9 The Avenue Crawley WA 6009,"$795,000",Oct-14,Unit,3,1,1,121,99,1981,,,Acton - Dalkeith
3/16 The Avenue,Crawley,WA,6009,3/16 The Avenue Crawley WA 6009,"$4,000,000",Oct-14,Apartment,3,3,3,275,275,1987,,,MLG Realty
27/17-23 The Avenue,Crawley,WA,6009,27/17-23 The Avenue Crawley WA 6009,"$375,000",Oct-14,Unit,1,1,1,41,45,1963,$430pw,Dec-15,Acton - Dalkeith
27/17 The Avenue,Crawley,WA,6009,27/17 The Avenue Crawley WA 6009,"$375,000",Oct-14,Unit,1,1,1,41,45,1963,$430pw,Dec-15,Acton - Dalkeith
12/70 Broadway,Crawley,WA,6009,12/70 Broadway Crawley WA 6009,"$345,000",Sep-14,Unit,1,1,1,48,44,1965,$330pw,Jan-21,Acton - Dalkeith
2/115 Fairway,Crawley,WA,6009,2/115 Fairway Crawley WA 6009,"$350,000",Sep-14,Townhouse,3,2,1,102,108,1981,$450pw,Mar-18,
8/22 The Avenue,Crawley,WA,6009,8/22 The Avenue Crawley WA 6009,"$1,050,000",Sep-14,Apartment,4,2,1,257,257,1981,"$1,000pw",Oct-17,
6/42 Broadway,Crawley,WA,6009,6/42 Broadway Crawley WA 6009,"$425,000",Sep-14,Unit,1,1,1,75,70,1965,$375pw,Jul-15,Residential West
3/5 Clark Street,Crawley,WA,6009,3/5 Clark Street Crawley WA 6009,"$650,000",Sep-14,Townhouse,3,1,1,121,111,1982,$600pw,Sep-14,
11/22 The Avenue,Crawley,WA,6009,11/22 The Avenue Crawley WA 6009,"$1,465,000",Sep-14,Unit,2,2,1,165,165,1981,,,
28/3 Park Avenue,Crawley,WA,6009,28/3 Park Avenue Crawley WA 6009,"$1,385,000",Aug-14,Apartment,3,2,2,175,175,1983,"$1,100pw",May-13,Shellabears - Cottesloe
18/17 The Avenue,Crawley,WA,6009,18/17 The Avenue Crawley WA 6009,"$345,000",Aug-14,Unit,1,1,1,42,42,1963,$320pw,Mar-21,
7/16 Caporn Street,Crawley,WA,6009,7/16 Caporn Street Crawley WA 6009,"$562,000",Aug-14,Unit,2,1,1,73,73,1969,,,Acton - Dalkeith
26/70-72 Broadway,Crawley,WA,6009,26/70-72 Broadway Crawley WA 6009,"$299,000",Aug-14,Unit,1,1,1,44,44,,$360pw,Nov-15,Ray White - Bursmac & Associates
32/5 Park Avenue,Crawley,WA,6009,32/5 Park Avenue Crawley WA 6009,"$810,000",Aug-14,Apartment,3,2,2,125,122,1975,$595pw,Nov-13,Mack Hall Real Estate - Claremont
125 Fairway,Crawley,WA,6009,125 Fairway Crawley WA 6009,"$1,512,500",Jul-14,House,4,2,4,607,,,$525pw,Jun-20,Growth Realty
26/70 Broadway,Crawley,WA,6009,26/70 Broadway Crawley WA 6009,"$299,000",Jul-14,Unit,1,1,1,44,44,,,,Ray White - Bursmac & Associates
87 Fairway,Crawley,WA,6009,87 Fairway Crawley WA 6009,"$1,500,000",Jul-14,House,3,1,1,607,118,1926,,,
2/10 Kings Park Avenue,Crawley,WA,6009,2/10 Kings Park Avenue Crawley WA 6009,"$1,550,000",Jun-14,Apartment,3,2,2,272,187,1999,,,The Property Exchange - Subiaco
2/228 Hampden Road,Crawley,WA,6009,2/228 Hampden Road Crawley WA 6009,"$650,000",Jun-14,Townhouse,1,1,1,157,96,2000,$415pw,Feb-21,ABODE REAL ESTATE - COTTESLOE
1/114 Broadway,Crawley,WA,6009,1/114 Broadway Crawley WA 6009,"$380,000",Jun-14,Apartment,2,1,1,67,67,1963,$460pw,Feb-12,Bexleys Real Estate - Wembley
2/20 Princess Road,Crawley,WA,6009,2/20 Princess Road Crawley WA 6009,"$642,000",Jun-14,Townhouse,2,1,1,85,79,1973,$485pw,Nov-20,Paxton Hoad - Subiaco
22 Cook Street,Crawley,WA,6009,22 Cook Street Crawley WA 6009,"$1,910,000",24 May 2014(Auction),House,3,3,2,683,358,2005,,,Shellabear's - Cottesloe
3/7 Wingfield Avenue,Crawley,WA,6009,3/7 Wingfield Avenue Crawley WA 6009,"$1,360,000",May-14,House,4,2,2,385,161,1989,$750pw,Dec-19,Mack Hall Real Estate - Claremont
13/8 Wingfield Avenue,Crawley,WA,6009,13/8 Wingfield Avenue Crawley WA 6009,"$815,000",May-14,Apartment,3,2,2,143,138,1979,$585pw,Nov-17,
"4/2,4 Crawley Avenue",Crawley,WA,6009,"4/2,4 Crawley Avenue Crawley WA 6009","$845,000",Apr-14,Apartment,2,2,2,,,,,,Acton - Dalkeith
6/25 The Avenue,Crawley,WA,6009,6/25 The Avenue Crawley WA 6009,"$480,000",Apr-14,Unit,2,1,1,64,64,1965,$310pw,Dec-18,
15/17 The Avenue,Crawley,WA,6009,15/17 The Avenue Crawley WA 6009,"$338,000",Mar-14,Unit,1,1,1,41,45,1963,$280pw,Mar-09,
6/159 Fairway,Crawley,WA,6009,6/159 Fairway Crawley WA 6009,"$352,000",Mar-14,Unit,1,1,1,54,35,1964,$300pw,May-18,Real Estate Express with Andy Brown - Mount Pleasa
99L Fairway,Crawley,WA,6009,99L Fairway Crawley WA 6009,"$625,000",Mar-14,House,2,1,2,150,94,1980,$425pw,Jan-10,
99 Fairway,Crawley,WA,6009,99 Fairway Crawley WA 6009,"$625,000",Mar-14,House,2,1,2,150,94,1980,$425pw,Jan-10,Realmark Western Suburbs - NEDLANDS
101 Fairway,Crawley,WA,6009,101 Fairway Crawley WA 6009,"$625,000",Mar-14,Townhouse,2,1,2,152,97,1982,$400pw,Jan-21,Realmark Western Suburbs - NEDLANDS
101L Fairway,Crawley,WA,6009,101L Fairway Crawley WA 6009,"$625,000",Mar-14,Townhouse,2,1,1,152,97,1982,$400pw,Jan-21,
2/3 Park Avenue,Crawley,WA,6009,2/3 Park Avenue Crawley WA 6009,"$760,000",Mar-14,Apartment,2,1,2,107,107,1983,$500pw,Jun-17,Mack Hall Real Estate - Claremont
16/25 The Avenue,Crawley,WA,6009,16/25 The Avenue Crawley WA 6009,"$435,000",Mar-14,Apartment,2,1,1,74,74,1965,$320pw,Sep-20,
3/16 Caporn Street,Crawley,WA,6009,3/16 Caporn Street Crawley WA 6009,"$545,000",Mar-14,Unit,2,1,1,73,73,1969,$320pw,Sep-19,Acton Cottesloe - Peppermint Grove
4/20 Park Road,Crawley,WA,6009,4/20 Park Road Crawley WA 6009,"$550,000",Feb-14,Townhouse,2,1,1,156,86,2004,$475pw,Dec-10,Peard Real Estate Leederville - Leederville & Moun
8/15 Cook Street,Crawley,WA,6009,8/15 Cook Street Crawley WA 6009,"$740,000",Feb-14,Unit,3,2,1,110,109,1981,$480pw,Mar-20,
9/10 The Avenue,Crawley,WA,6009,9/10 The Avenue Crawley WA 6009,"$1,160,000",Feb-14,Apartment,2,1,2,105,105,1979,,,Shellabears Real Estate
1/24 Caporn Street,Crawley,WA,6009,1/24 Caporn Street Crawley WA 6009,"$610,000",Feb-14,Apartment,2,1,2,85,85,1979,$430pw,Dec-11,
4/22 Mounts Bay Road,Crawley,WA,6009,4/22 Mounts Bay Road Crawley WA 6009,"$2,475,000",Feb-14,Apartment,3,2,2,306,218,2004,,,Mack Hall Real Estate - Claremont
145 Fairway,Crawley,WA,6009,145 Fairway Crawley WA 6009,"$970,000",Feb-14,House,3,2,2,198,125,2002,$800pw,Mar-13,Caporn Young Real Estate
11/17 The Avenue,Crawley,WA,6009,11/17 The Avenue Crawley WA 6009,"$398,000",Feb-14,Unit,1,1,1,41,45,1963,,,
18 Cook Street,Crawley,WA,6009,18 Cook Street Crawley WA 6009,"$1,000,000",Jan-14,House,3,1,2,683,117,1935,$560pw,Dec-15,Bellcourt Property Group - SHENTON PARK
6/8 Mounts Bay Road,Crawley,WA,6009,6/8 Mounts Bay Road Crawley WA 6009,"$2,725,000",Jan-14,Apartment,3,3,2,290,181,2006,,,Ethos Property - HIGHGATE
35/3 Park Avenue,Crawley,WA,6009,35/3 Park Avenue Crawley WA 6009,"$1,230,000",Jan-14,Apartment,3,1,1,175,175,1983,,,
4/42 Broadway,Crawley,WA,6009,4/42 Broadway Crawley WA 6009,"$495,000",Dec-13,Apartment,2,1,1,103,102,1965,$475pw,Apr-13,MAS Real Estate - Nedlands
14/8 Wingfield Avenue,Crawley,WA,6009,14/8 Wingfield Avenue Crawley WA 6009,"$998,000",Dec-13,Apartment,3,2,2,150,144,1979,,,Acton - Dalkeith
2/168 Broadway,Crawley,WA,6009,2/168 Broadway Crawley WA 6009,"$625,000",Dec-13,Apartment,2,1,1,65,68,1963,$525pw,May-13,Acton North - CITY BEACH
24/159 Fairway,Crawley,WA,6009,24/159 Fairway Crawley WA 6009,"$330,000",Dec-13,Unit,1,1,1,35,41,1964,$260pw,Feb-20,
51/4 Crawley Avenue,Crawley,WA,6009,51/4 Crawley Avenue Crawley WA 6009,"$1,050,000",Nov-13,Apartment,3,2,2,202,206,1970,,,
9/131 Fairway,Crawley,WA,6009,9/131 Fairway Crawley WA 6009,"$627,000",Nov-13,Townhouse,2,1,2,208,117,2000,,,
1/14 Park Road,Crawley,WA,6009,1/14 Park Road Crawley WA 6009,"$625,000",Oct-13,Townhouse,3,1,1,97,100,1977,$490pw,Feb-18,Kempton Azzopardi - Nedlands
29L Parkway,Crawley,WA,6009,29L Parkway Crawley WA 6009,"$803,000",Oct-13,House,3,1,2,301,163,1969,$500pw,Sep-19,
27 Parkway,Crawley,WA,6009,27 Parkway Crawley WA 6009,"$803,000",Oct-13,House,3,1,1,305,104,1980,$450pw,Dec-20,Kempton Azzopardi - Nedlands
53/3 Park Avenue,Crawley,WA,6009,53/3 Park Avenue Crawley WA 6009,"$1,340,000",Oct-13,Apartment,3,2,2,175,175,1983,$850pw,Nov-17,Property Selection Realty - North Perth
2/20 Park Road,Crawley,WA,6009,2/20 Park Road Crawley WA 6009,"$852,500",Oct-13,Townhouse,3,2,2,233,116,2004,$600pw,Mar-21,Realmark Central - East Perth
6/8 Mounts Bay Road,Crawley,WA,6009,6/8 Mounts Bay Road Crawley WA 6009,"$2,725,000",Oct-13,Apartment,3,3,2,290,181,2006,,,
1/1 Kings Park Avenue,Crawley,WA,6009,1/1 Kings Park Avenue Crawley WA 6009,"$1,050,000",Sep-13,Apartment,3,2,2,202,178,1967,$700pw,May-17,Anderson Davies Real Estate - Dalkeith
101/4 Crawley Avenue,Crawley,WA,6009,101/4 Crawley Avenue Crawley WA 6009,"$1,400,000",Sep-13,Apartment,3,2,2,202,206,1970,,,
2/136A Broadway,Crawley,WA,6009,2/136A Broadway Crawley WA 6009,"$399,000",Sep-13,Apartment,1,1,1,55,45,1964,$270pw,Jul-20,Shellabears Real Estate
17/159 Fairway,Crawley,WA,6009,17/159 Fairway Crawley WA 6009,"$300,000",Sep-13,Unit,1,1,1,34,41,1964,$315pw,Jul-21,
10/68 Broadway,Crawley,WA,6009,10/68 Broadway Crawley WA 6009,"$381,000",Aug-13,Unit,1,1,1,71,50,1963,$270pw,Sep-20,MAS Real Estate - Nedlands
3/14 The Avenue,Crawley,WA,6009,3/14 The Avenue Crawley WA 6009,"$2,300,000",Aug-13,Apartment,3,2,4,381,248,1988,"$1,500pw",Feb-18,Space Real Estate - Cottesloe
25/4 Crawley Avenue,Crawley,WA,6009,25/4 Crawley Avenue Crawley WA 6009,"$2,300,000",Aug-13,Apartment,3,4,0,360,360,1970,,,
