address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent
1 Langham Street,Nedlands,WA,6009,1 Langham Street Nedlands WA 6009,"$1,200,000",Apr-19,House,4,2,4,540,213,2011,$850pw,Apr-20,Shellabears - Cottesloe
34 Thomas Street,Nedlands,WA,6009,34 Thomas Street Nedlands WA 6009,"$1,875,000",Apr-19,House,6,2,2,"1,012",283,1955,,,
53 Jenkins Avenue,Nedlands,WA,6009,53 Jenkins Avenue Nedlands WA 6009,"$1,350,000",Apr-19,House,3,2,2,461,230,2001,,,Abel McGrath Property Group - Claremont
96 Webster Street,Nedlands,WA,6009,96 Webster Street Nedlands WA 6009,"$2,000,000",Apr-19,House,4,3,4,"1,012",,1970,"$1,100pw",May-21,
20 Loch Street,Nedlands,WA,6009,20 Loch Street Nedlands WA 6009,"$875,000",Mar-19,House,3,1,2,696,139,1945,,,
58 Loch Street,Nedlands,WA,6009,58 Loch Street Nedlands WA 6009,"$1,490,000",Mar-19,House,3,2,2,976,233,1940,,,
5 Doonan Road,Nedlands,WA,6009,5 Doonan Road Nedlands WA 6009,"$1,525,000",Mar-19,House,4,2,2,461,266,2003,,,
102 Monash Avenue,Nedlands,WA,6009,102 Monash Avenue Nedlands WA 6009,"$1,250,000",Mar-19,House,4,2,4,533,137,1933,$680pw,Jan-21,Space Real Estate - Cottesloe
15 CLIFTON STREET,Nedlands,WA,6009,15 CLIFTON STREET Nedlands WA 6009,"$990,000",Mar-19,House,3,1,3,456,142,1930,$575pw,Jan-20,
90 Stanley Street,Nedlands,WA,6009,90 Stanley Street Nedlands WA 6009,"$1,860,000",Mar-19,House,5,2,4,"1,012",230,1935,,,Perth Lifestyle Residential - Lifestyle Is Where I
71 Broadway,Nedlands,WA,6009,71 Broadway Nedlands WA 6009,"$1,350,000",Mar-19,House,3,2,3,549,173,1933,$695pw,Dec-20,
30B Williams Road,Nedlands,WA,6009,30B Williams Road Nedlands WA 6009,"$900,000",Mar-19,House,3,2,2,342,174,2007,,,Mint Real Estate - Claremont
41 Weld Street,Nedlands,WA,6009,41 Weld Street Nedlands WA 6009,"$1,150,000",Mar-19,House,3,2,1,697,147,1960,$825pw,Aug-13,
7 Kanimbla Road,Nedlands,WA,6009,7 Kanimbla Road Nedlands WA 6009,"$1,040,000",Feb-19,House,3,2,1,483,88,1932,,,
12/192 Hampden Road,Nedlands,WA,6009,12/192 Hampden Road Nedlands WA 6009,"$485,000",Feb-19,Townhouse,2,1,2,142,101,1999,$450pw,Jan-17,Kempton Azzopardi - Nedlands
16A Dalkeith Road,Nedlands,WA,6009,16A Dalkeith Road Nedlands WA 6009,"$1,630,000",Jan-19,House,4,2,2,503,239,2009,"$1,500pw",Nov-12,DUET Property Group - Nedlands
18 COOPER STREET,Nedlands,WA,6009,18 COOPER STREET Nedlands WA 6009,"$1,500,000",Dec-18,House,4,2,2,910,,1926,$685pw,Mar-19,Kempton Azzopardi - Nedlands
24 Williams Road,Nedlands,WA,6009,24 Williams Road Nedlands WA 6009,"$911,000",Dec-18,House,2,1,1,456,114,1937,,,
10 Kingsway,Nedlands,WA,6009,10 Kingsway Nedlands WA 6009,"$2,125,000",Dec-18,House,4,2,2,880,260,1935,"$1,400pw",Mar-19,
79 Clifton Street,Nedlands,WA,6009,79 Clifton Street Nedlands WA 6009,"$1,000,000",Dec-18,House,3,1,0,468,143,1921,$550pw,Jul-20,
98 Thomas Street,Nedlands,WA,6009,98 Thomas Street Nedlands WA 6009,"$3,700,000",Dec-18,House,4,4,2,"1,012",438,2012,$500pw,Jan-10,TM Residential - Dalkeith
63 Vincent Street,Nedlands,WA,6009,63 Vincent Street Nedlands WA 6009,"$2,600,000",Dec-18,House,5,3,2,961,425,2010,,,Caporn Young Estate Agents - Claremont
61 Williams Road,Nedlands,WA,6009,61 Williams Road Nedlands WA 6009,"$1,250,000",Dec-18,House,2,1,0,905,114,1929,$420pw,Feb-19,Kempton Azzopardi - Nedlands
113 Hardy Road,Nedlands,WA,6009,113 Hardy Road Nedlands WA 6009,"$1,300,000",Dec-18,House,3,2,4,533,,1935,,,Mint Real Estate - Claremont
92 Bruce Street,Nedlands,WA,6009,92 Bruce Street Nedlands WA 6009,"$2,250,000",Dec-18,House,5,3,2,"1,209",241,1940,"$1,300pw",Jan-19,Space Real Estate - Cottesloe
55 Meriwa Street,Nedlands,WA,6009,55 Meriwa Street Nedlands WA 6009,"$955,000",Dec-18,House,2,1,1,455,124,1933,$700pw,Jan-14,Kempton Azzopardi - Nedlands
27/35 Esplanade,Nedlands,WA,6009,27/35 Esplanade Nedlands WA 6009,"$1,900,000",Dec-18,Apartment,3,2,2,294,171,2008,"$1,000pw",Apr-20,William Porteous Properties International Pty Lt
201/30 The Avenue,Nedlands,WA,6009,201/30 The Avenue Nedlands WA 6009,"$1,090,000",Nov-18,Apartment,2,2,2,189,129,2009,$795pw,Dec-18,ACTON Dalkeith
16 Tyrell Street,Nedlands,WA,6009,16 Tyrell Street Nedlands WA 6009,"$1,680,000",Nov-18,House,4,2,3,809,,1950,,,
1/1 Park Road,Nedlands,WA,6009,1/1 Park Road Nedlands WA 6009,"$725,000",Nov-18,Townhouse,3,2,1,198,124,2006,$650pw,Dec-18,REG RANSOM REAL ESTATE - DALKEITH
78 Louise Street,Nedlands,WA,6009,78 Louise Street Nedlands WA 6009,"$1,650,000",Nov-18,House,3,2,3,1012,437,2020,$500pw,Dec-18,William Porteous Properties International Pty Ltd 
18 Langham Street,Nedlands,WA,6009,18 Langham Street Nedlands WA 6009,"$1,900,000",Nov-18,House,4,2,3,905,364,1995,,,Hub Residential - SWANBOURNE
22 Louise Street,Nedlands,WA,6009,22 Louise Street Nedlands WA 6009,"$2,400,000",Nov-18,House,2,1,2,"1,012",330,1936,,,
8b Hardy Road,Nedlands,WA,6009,8b Hardy Road Nedlands WA 6009,"$645,000",Nov-18,Townhouse,3,1,1,115,117,1977,,,Kempton Azzopardi - Nedlands
10/2 Waroonga Road,Nedlands,WA,6009,10/2 Waroonga Road Nedlands WA 6009,"$550,000",Oct-18,Townhouse,2,1,1,150,84,1975,$410pw,Aug-20,ACTON Dalkeith
4B Waroonga Road,Nedlands,WA,6009,4B Waroonga Road Nedlands WA 6009,"$958,000",Oct-18,House,3,2,2,504,162,1995,$650pw,Dec-15,Ockerby Real Estate - WA
81 The Avenue,Nedlands,WA,6009,81 The Avenue Nedlands WA 6009,"$1,530,000",Oct-18,House,3,1,3,620,213,1933,,,Hub Residential - SWANBOURNE
126 Princess Road,Nedlands,WA,6009,126 Princess Road Nedlands WA 6009,"$1,200,000",Oct-18,House,3,2,2,810,222,1937,,,Space Real Estate - Cottesloe
19 Napier Street,Nedlands,WA,6009,19 Napier Street Nedlands WA 6009,"$1,250,000",Oct-18,House,4,2,2,697,,1950,$800pw,Oct-15,One Agency West Coast
15 Mountjoy Road,Nedlands,WA,6009,15 Mountjoy Road Nedlands WA 6009,"$1,545,000",Oct-18,Townhouse,4,2,2,"1,012",144,2021,,,Duet Property Group - Nedlands
132 Dalkeith Road,Nedlands,WA,6009,132 Dalkeith Road Nedlands WA 6009,"$1,550,000",Oct-18,House,2,1,2,999,133,1935,$520pw,Jan-20,Ray White - Dalkeith | Claremont
30 Stanley Street,Nedlands,WA,6009,30 Stanley Street Nedlands WA 6009,"$1,615,000",Oct-18,House,4,2,1,1012,,1948,$600pw,Feb-19,Hub Residential - SWANBOURNE
75 Dalkeith Road,Nedlands,WA,6009,75 Dalkeith Road Nedlands WA 6009,"$1,925,000",Oct-18,House,4,2,2,"1,012",291,1930,,,Duet Property Group - Nedlands
7 Bruce Street,Nedlands,WA,6009,7 Bruce Street Nedlands WA 6009,"$1,700,000",Sep-18,House,4,2,2,814,205,1935,,,Duet Property Group - Nedlands
15 Napier Street,Nedlands,WA,6009,15 Napier Street Nedlands WA 6009,"$1,170,000",Sep-18,House,4,2,2,696,166,1940,$220pw,Aug-14,Gordon Davies Real Estate - DALKEITH
52 Louise Street,Nedlands,WA,6009,52 Louise Street Nedlands WA 6009,"$2,300,000",Sep-18,House,4,2,4,"1,012",308,2018,,,Abel Property - Leederville
41 Broome Street,Nedlands,WA,6009,41 Broome Street Nedlands WA 6009,"$1,505,000",Sep-18,House,5,2,2,787,238,1938,"$1,150pw",Nov-12,Ray White - Dalkeith | Claremont
7/28 Stirling Highway,Nedlands,WA,6009,7/28 Stirling Highway Nedlands WA 6009,"$592,000",Sep-18,Unit,2,1,1,110,110,1979,,,Hub Residential - SWANBOURNE
7/79 Williams Road,Nedlands,WA,6009,7/79 Williams Road Nedlands WA 6009,"$900,000",Sep-18,House,3,2,2,311,200,2006,,,Mark Anderson
82 Monash Avenue,Nedlands,WA,6009,82 Monash Avenue Nedlands WA 6009,"$1,355,000",Aug-18,House,2,1,1,533,,1930,,,Gordon Davies Real Estate - DALKEITH
54 Viewway,Nedlands,WA,6009,54 Viewway Nedlands WA 6009,"$1,520,000",Aug-18,House,5,3,3,713,297,1926,,,The Agency
24 Loch Street,Nedlands,WA,6009,24 Loch Street Nedlands WA 6009,"$1,000,000",Aug-18,House,3,1,1,697,145,1920,,,Abel Property - Cottesloe
11 Kingsway,Nedlands,WA,6009,11 Kingsway Nedlands WA 6009,"$2,180,000",Jul-18,House,5,3,2,880,312,1926,,,Ray White - Dalkeith | Claremont
2 Dalkeith Road,Nedlands,WA,6009,2 Dalkeith Road Nedlands WA 6009,"$1,400,000",Jul-18,House,3,1,0,"1,037",,1960,,,Abel McGrath Property Group - Claremont
28 Williams Road,Nedlands,WA,6009,28 Williams Road Nedlands WA 6009,"$1,220,000",Jul-18,House,3,1,2,456,123,1937,$530pw,Oct-11,Abel McGrath Property Group - Claremont
13 Boronia Avenue,Nedlands,WA,6009,13 Boronia Avenue Nedlands WA 6009,"$1,620,000",Jul-18,House,4,2,6,"1,036",328,1995,"$1,100pw",Jun-17,William Porteous Properties International Pty Ltd 
34 Stanley Street,Nedlands,WA,6009,34 Stanley Street Nedlands WA 6009,"$1,530,000",Jul-18,House,5,5,0,"1,012",491,2020,,,Rossen Real Estate - Nedlands
117 Dalkeith Road,Nedlands,WA,6009,117 Dalkeith Road Nedlands WA 6009,"$1,455,000",Jun-18,House,3,1,1,"1,012",300,1945,"$1,500pw",Apr-21,Caporn Young Estate Agents - Claremont
32 Lupin Hill Grove,Nedlands,WA,6009,32 Lupin Hill Grove Nedlands WA 6009,"$1,380,000",Jun-18,House,3,2,2,232,203,2006,"$1,000pw",Apr-15,Realmark Western Suburbs - NEDLANDS
18 Viewway,Nedlands,WA,6009,18 Viewway Nedlands WA 6009,"$2,800,000",Jun-18,House,5,3,2,883,341,1989,,,Abel McGrath Property Group - Claremont
88a Bruce Street,Nedlands,WA,6009,88a Bruce Street Nedlands WA 6009,"$1,250,000",Jun-18,House,3,3,2,376,158,1950,$995pw,Aug-14,Abel McGrath Property Group - Claremont
165 Broadway,Nedlands,WA,6009,165 Broadway Nedlands WA 6009,"$600,000",Jun-18,Shop,0,0,0,244,,,,,
84 Mountjoy Road,Nedlands,WA,6009,84 Mountjoy Road Nedlands WA 6009,"$1,775,000",Jun-18,House,3,1,2,"1,012",353,1935,$590pw,May-15,Abel McGrath Property Group - Claremont
67C Loftus Street,Nedlands,WA,6009,67C Loftus Street Nedlands WA 6009,"$710,000",Jun-18,Unit,3,1,2,268,129,1988,,,Abel McGrath Property Group - Claremont
28 Napier Street,Nedlands,WA,6009,28 Napier Street Nedlands WA 6009,"$1,780,000",May-18,House,4,2,3,697,340,2001,,,Abel McGrath Property Group - Claremont
6 LEOPOLD STREET,Nedlands,WA,6009,6 LEOPOLD STREET Nedlands WA 6009,"$1,950,000",May-18,House,4,3,2,498,127,2018,,,Space Real Estate - Cottesloe
70 Mountjoy Road,Nedlands,WA,6009,70 Mountjoy Road Nedlands WA 6009,"$1,700,000",May-18,House,4,2,2,"1,012",333,1933,"$1,250pw",Jun-15,Kempton Azzopardi - Nedlands
4/145 Stirling Highway,Nedlands,WA,6009,4/145 Stirling Highway Nedlands WA 6009,"$345,000",May-18,Shop,0,0,0,"6,883",,1980,,,
16 Dalkeith Road,Nedlands,WA,6009,16 Dalkeith Road Nedlands WA 6009,"$1,675,000",May-18,House,4,2,4,533,310,2009,,,Abel McGrath Property Group - Claremont
37 Marita Road,Nedlands,WA,6009,37 Marita Road Nedlands WA 6009,"$1,720,000",May-18,House,6,2,1,923,,1959,,,Abel McGrath Property Group - Claremont
8/89 Winthrop Avenue,Nedlands,WA,6009,8/89 Winthrop Avenue Nedlands WA 6009,"$455,000",May-18,House,2,2,1,100,70,2013,$450pw,Sep-16,Kempton Azzopardi - Nedlands
85 Florence Road,Nedlands,WA,6009,85 Florence Road Nedlands WA 6009,"$2,115,000",May-18,House,5,3,2,"1,012",414,1938,,,Jamie Loh Real Estate - Cottesloe
40/95 Monash Avenue,Nedlands,WA,6009,40/95 Monash Avenue Nedlands WA 6009,"$650,000",May-18,Shop,,,,"6,622",,,,,
1/61 Stirling Highway,Nedlands,WA,6009,1/61 Stirling Highway Nedlands WA 6009,"$390,000",May-18,Unit,2,1,1,130,90,1967,,,Acton - Dalkeith
30 Monash Avenue,Nedlands,WA,6009,30 Monash Avenue Nedlands WA 6009,"$960,000",May-18,House,5,2,3,490,207,1999,$650pw,Jun-18,Shellabears - Cottesloe
24 Kingsway,Nedlands,WA,6009,24 Kingsway Nedlands WA 6009,"$1,375,000",May-18,House,4,1,2,883,,1933,,,
13 Vincent Street,Nedlands,WA,6009,13 Vincent Street Nedlands WA 6009,"$1,430,000",Apr-18,House,2,1,1,997,,1928,,,Rossen Real Estate - Nedlands
51 Taylor Road,Nedlands,WA,6009,51 Taylor Road Nedlands WA 6009,"$1,300,000",Apr-18,House,0,0,2,923,253,1939,,,Abel McGrath Property Group - Claremont
22 Dalkeith Road,Nedlands,WA,6009,22 Dalkeith Road Nedlands WA 6009,"$1,360,000",Apr-18,House,4,2,1,535,234,2020,,,Abel McGrath Property Group - Claremont
45 Louise Street,Nedlands,WA,6009,45 Louise Street Nedlands WA 6009,"$1,635,000",Apr-18,House,4,1,3,"1,056",191,1931,,,Airey Real Estate - CLAREMONT
42A Langham Street,Nedlands,WA,6009,42A Langham Street Nedlands WA 6009,"$900,000",Apr-18,House,2,1,2,102,102,1945,,,Airey Real Estate - CLAREMONT
191-193 Stirling Highway,Nedlands,WA,6009,191-193 Stirling Highway Nedlands WA 6009,"$3,250,000",Apr-18,Shop,0,0,0,680,436,,"$12,775pw",Jun-11,
18 Leopold Street,Nedlands,WA,6009,18 Leopold Street Nedlands WA 6009,"$2,200,000",Apr-18,House,4,2,2,"1,019",261,1945,,,Abel Property - Leederville
19/35 Esplanade,Nedlands,WA,6009,19/35 Esplanade Nedlands WA 6009,"$1,380,000",Apr-18,Apartment,3,2,2,184,131,2008,$875pw,Dec-17,Ray White City Residential (Perth)
67 Verdun Street,Nedlands,WA,6009,67 Verdun Street Nedlands WA 6009,"$1,200,000",Mar-18,House,4,3,2,305,348,2010,"$1,250pw",Apr-17,Realmark Western Suburbs - NEDLANDS
2 Boronia Avenue,Nedlands,WA,6009,2 Boronia Avenue Nedlands WA 6009,"$1,440,000",Mar-18,House,4,3,2,760,251,1960,,,Mack Hall Real Estate - Claremont
4/112 Stirling Highway,Nedlands,WA,6009,4/112 Stirling Highway Nedlands WA 6009,"$520,000",Mar-18,Apartment,2,1,1,104,88,1939,$350pw,Jun-18,Abel McGrath Property Group - Claremont
4/36 Martin Avenue,Nedlands,WA,6009,4/36 Martin Avenue Nedlands WA 6009,"$420,000",Mar-18,House,2,1,1,88,73,1988,$350pw,Nov-18,Acton - Dalkeith
87 Meriwa Street,Nedlands,WA,6009,87 Meriwa Street Nedlands WA 6009,"$1,500,000",Mar-18,House,4,3,2,468,217,1933,,,Abel McGrath Property Group - Claremont
67 Archdeacon Street,Nedlands,WA,6009,67 Archdeacon Street Nedlands WA 6009,"$1,925,000",Mar-18,House,4,2,2,810,,1940,,,Abel McGrath Property Group - Claremont
3/52 Weld Street,Nedlands,WA,6009,3/52 Weld Street Nedlands WA 6009,"$695,000",Mar-18,Townhouse,3,1,3,117,117,1982,,,William Porteous Properties International Pty Ltd 
47 Archdeacon Street,Nedlands,WA,6009,47 Archdeacon Street Nedlands WA 6009,"$1,780,000",Mar-18,House,3,2,2,809,210,1936,$800pw,Jan-07,Hub Residential - SWANBOURNE
2/20 Monash Avenue,Nedlands,WA,6009,2/20 Monash Avenue Nedlands WA 6009,"$580,000",Mar-18,Townhouse,3,1,2,98,98,1981,$400pw,Jul-20,Kim Roberts & Associates Real Estate - NEDLANDS
2/2A Marita Road,Nedlands,WA,6009,2/2A Marita Road Nedlands WA 6009,"$510,000",Mar-18,Townhouse,2,1,1,83,83,1965,$480pw,Feb-20,Acton - Dalkeith
27 Langham Street,Nedlands,WA,6009,27 Langham Street Nedlands WA 6009,"$1,930,000",Mar-18,House,4,2,3,908,281,1930,,,Abel McGrath Property Group - Claremont
9 Webster Street,Nedlands,WA,6009,9 Webster Street Nedlands WA 6009,"$480,000",Mar-18,Unit,2,1,1,"1,012",84,1938,,,
10/47 Boronia Avenue,Nedlands,WA,6009,10/47 Boronia Avenue Nedlands WA 6009,"$530,000",Mar-18,Townhouse,3,1,1,108,108,1976,$520pw,Jan-14,Rossen Real Estate - Nedlands
9/1 Park Road,Nedlands,WA,6009,9/1 Park Road Nedlands WA 6009,"$560,000",Mar-18,Townhouse,1,1,1,145,90,2006,,,Kempton Azzopardi - Nedlands
41 Bulimba Road,Nedlands,WA,6009,41 Bulimba Road Nedlands WA 6009,"$1,625,000",Mar-18,House,4,2,2,923,211,1983,$750pw,Jul-17,Kempton Azzopardi - Nedlands
110 Williams Road,Nedlands,WA,6009,110 Williams Road Nedlands WA 6009,"$935,000",Mar-18,House,3,2,3,706,94,1945,,,Abel McGrath Property Group - Claremont
5 Viewway,Nedlands,WA,6009,5 Viewway Nedlands WA 6009,"$2,000,000",Mar-18,House,4,2,2,883,,1935,,,Rossen Real Estate - Nedlands
6 Loneragan Street,Nedlands,WA,6009,6 Loneragan Street Nedlands WA 6009,"$1,800,000",Feb-18,House,4,3,2,397,377,2008,"$1,495pw",Dec-17,Realmark Western Suburbs - NEDLANDS
1/1 Webster Street,Nedlands,WA,6009,1/1 Webster Street Nedlands WA 6009,"$550,000",Feb-18,Townhouse,2,1,1,225,93,1990,,,Ian Hutchison - South Perth
1A Thomas Street,Nedlands,WA,6009,1A Thomas Street Nedlands WA 6009,"$1,525,000",Feb-18,House,5,1,4,"1,015",361,1938,,,Abel McGrath Property Group - Claremont
1/59 Stirling Highway,Nedlands,WA,6009,1/59 Stirling Highway Nedlands WA 6009,"$537,500",Feb-18,Unit,2,1,1,109,90,1930,$500pw,Sep-14,Mint Real Estate - Claremont
25 Bruce Street,Nedlands,WA,6009,25 Bruce Street Nedlands WA 6009,"$1,640,000",Feb-18,House,4,3,2,804,209,1924,$930pw,Feb-20,Hub Residential - SWANBOURNE
89 Florence Road,Nedlands,WA,6009,89 Florence Road Nedlands WA 6009,"$1,950,000",Feb-18,House,4,3,4,1012,488,2021,,,Abel McGrath Property Group - Claremont
36 Cooper Street,Nedlands,WA,6009,36 Cooper Street Nedlands WA 6009,"$1,660,000",Feb-18,House,4,2,2,741,208,1925,"$1,250pw",Nov-20,Acton - Dalkeith
64 Florence Road,Nedlands,WA,6009,64 Florence Road Nedlands WA 6009,"$1,620,000",Feb-18,House,0,0,2,"1,012",260,1938,,,Abel McGrath Property Group - Claremont
1A Bulimba Road,Nedlands,WA,6009,1A Bulimba Road Nedlands WA 6009,"$910,000",Feb-18,House,3,2,6,145,134,1981,$570pw,Jul-19,Shellabears - Cottesloe
83 Thomas Street,Nedlands,WA,6009,83 Thomas Street Nedlands WA 6009,"$3,700,000",Feb-18,House,6,3,6,"1,012",318,2017,,,Abel McGrath Property Group - Claremont
24 Thomas Street,Nedlands,WA,6009,24 Thomas Street Nedlands WA 6009,"$3,000,000",Feb-18,House,4,4,4,"1,012",363,1933,,,Abel McGrath Property Group - Claremont
21 Meriwa Street,Nedlands,WA,6009,21 Meriwa Street Nedlands WA 6009,"$960,000",Feb-18,House,2,1,2,456,89,1927,$650pw,Apr-16,Bellcourt Property Group - Dalkeith | Shenton Park
26 Webster Street,Nedlands,WA,6009,26 Webster Street Nedlands WA 6009,"$1,300,000",Jan-18,House,4,2,1,675,174,1974,$900pw,Jan-16,Ray White - Dalkeith | Claremont
69 Vincent Street,Nedlands,WA,6009,69 Vincent Street Nedlands WA 6009,"$2,000,000",Jan-18,House,5,3,2,998,260,1973,,,Abel McGrath Property Group - Claremont
120 Dalkeith Road,Nedlands,WA,6009,120 Dalkeith Road Nedlands WA 6009,"$1,451,000",Jan-18,House,4,2,2,946,,1951,$600pw,Jan-18,Caporn Young Estate Agents - Claremont
5/160 Hampden Road,Nedlands,WA,6009,5/160 Hampden Road Nedlands WA 6009,"$700,000",Jan-18,Shop,,,,"1,861",84,1999,,,
51 Thomas Street,Nedlands,WA,6009,51 Thomas Street Nedlands WA 6009,"$1,900,000",Jan-18,House,4,2,2,"1,012",259,1935,"$1,350pw",Jul-15,Hub Residential - SWANBOURNE
21 Portland Street,Nedlands,WA,6009,21 Portland Street Nedlands WA 6009,"$1,760,000",Jan-18,House,7,2,6,905,170,1932,,,Hub Residential - SWANBOURNE
33 Hillway,Nedlands,WA,6009,33 Hillway Nedlands WA 6009,"$2,250,000",Jan-18,House,4,3,2,910,299,1950,,,William Porteous Properties International Pty Ltd 
68 Vincent Street,Nedlands,WA,6009,68 Vincent Street Nedlands WA 6009,"$2,125,000",Jan-18,House,4,2,2,"1,136",285,1955,,,Abel McGrath Property Group - Claremont
35 Taylor Road,Nedlands,WA,6009,35 Taylor Road Nedlands WA 6009,"$1,400,000",Jan-18,House,3,1,3,923,188,1960,$680pw,Nov-11,Abel McGrath Property Group - Claremont
35 Weld Street,Nedlands,WA,6009,35 Weld Street Nedlands WA 6009,"$1,710,000",Jan-18,House,4,2,3,697,285,2002,,,Ray White - Dalkeith | Claremont
14/51 Stirling Highway,Nedlands,WA,6009,14/51 Stirling Highway Nedlands WA 6009,"$420,000",Jan-18,Townhouse,2,1,1,,,1966,$330pw,Nov-18,Kempton Azzopardi - Nedlands
74 Smyth Road,Nedlands,WA,6009,74 Smyth Road Nedlands WA 6009,"$1,330,000",Dec-17,House,3,2,3,909,909,1955,$700pw,Dec-17,William Porteous Properties International Pty Ltd 
12 Kanimbla Road,Nedlands,WA,6009,12 Kanimbla Road Nedlands WA 6009,"$1,185,000",Dec-17,House,3,2,2,491,144,1932,$700pw,Nov-12,Hub Residential - SWANBOURNE
32 Bedford Street,Nedlands,WA,6009,32 Bedford Street Nedlands WA 6009,"$1,956,000",Dec-17,House,4,2,3,787,351,2004,"$1,525pw",Feb-21,Space Real Estate - Cottesloe
51 Robinson Street,Nedlands,WA,6009,51 Robinson Street Nedlands WA 6009,"$1,370,000",Dec-17,House,3,2,2,697,,1938,$975pw,Feb-16,Space Real Estate - Cottesloe
23/35 Esplanade,Nedlands,WA,6009,23/35 Esplanade Nedlands WA 6009,"$2,015,000",Dec-17,Apartment,3,2,2,333,176,2008,,,Mint Real Estate - Claremont
